Type,A,B,C
Sardinia,18.272,15.6536224,38.40902304
Sardinia,18.277,15.66320623,38.44164856
Sardinia,18.114,15.64632978,38.211483
Sardinia,18.1165,15.65229367,38.23161228
Sardinia,18.118,15.6566697,38.25959942
Sardinia,18.1,15.644011,38.183398
Sardinia,17.946,15.62432598,37.9746333
Sardinia,17.9,15.621151,37.918286
Sardinia,17.921,15.64521221,38.01707177
Sardinia,17.926,15.66947512,38.14079168
Sardinia,18.377,15.67355953,38.56248057
Sardinia,18.395,15.6968214,38.63888145
Sardinia,18.247,15.62180411,38.23914308
Sardinia,18.288,15.66678096,38.38541472
Sardinia,18.29,15.6741642,38.3608973
Sardinia,18.232,15.62919968,38.25146528
Sardinia,18.237,15.63603906,38.27235057
Sardinia,18.246,15.6441204,38.30090844
Sardinia,18.25,15.6524775,38.327555
Sardinia,18.245,15.64855405,38.32818375
Sardinia,18.247,15.65026943,38.31194861
Sardinia,18.22,15.6289338,38.2142636
Sardinia,18.259,15.66603941,38.3877216
Sardinia,18.277,15.68184877,38.41496414
Sardinia,18.283,15.68937362,38.44402976
Sardinia,18.221,15.63762662,38.28250321
Sardinia,18.243,15.66271008,38.38947462
Sardinia,18.196,15.62890832,38.21578508
Sardinia,18.227,15.66592423,38.35744561
Sardinia,18.232,15.670404,38.34134904
Sardinia,18.229,15.66891924,38.36785233
Tuscany,18.733,15.69300876,39.04219462
Tuscany,18.739,15.70309461,39.0689411
Tuscany,18.743,15.70457227,39.08534019
Tuscany,18.728,15.69013112,39.03327216
Tuscany,18.78,15.7181088,39.0631512
Tuscany,18.756,15.6931452,39.0012264
Tuscany,18.758,15.6882533,38.98081222
Tuscany,18.763,15.69750106,39.01221723
Tuscany,18.692,15.65903608,38.95936176
Tuscany,18.706,15.67394446,38.99377936
Tuscany,18.731,15.69732724,39.05563348
Tuscany,18.737,15.70123126,39.05577754
Tuscany,18.743,15.70532199,39.09058823
Tuscany,18.731,15.69320642,39.04439488
Tuscany,18.698,15.66181876,38.9516736
Tuscany,18.721,15.68520264,39.01493842
Tuscany,18.758,15.72164254,39.1310638
Tuscany,18.758,15.69894536,39.07422706
Tuscany,18.756,15.69108204,39.05393076
Tuscany,18.757,15.69323162,39.06295306
Tuscany,18.788,15.72724692,39.1804952
Tuscany,18.756,15.6922074,39.05130492
Tuscany,18.753,15.69082263,39.04018293
Tuscany,18.784,15.73404192,39.19131328
Tuscany,18.775,15.72687875,39.173662
Tuscany,18.815,15.75775065,39.25392265
Tuscany,18.775,15.7173035,39.1364875
Tuscany,18.774,15.70933224,39.11356386
Tuscany,17.994,15.49967172,37.61249832
Tuscany,18.004,15.50522484,37.64564384
Cevennes,18.38,15.64,38.37
Cevennes,18.51,15.67,38.66
Cevennes,18.41,15.66,38.47
Cevennes,18.47,15.65,38.61
Cevennes,18.36,15.64,38.4
Cevennes,18.36,15.64,38.41
Cevennes,18.43,15.65,38.56
Cevennes,18.32,15.67,38.42
Cevennes,18.4,15.64,38.59
Cevennes,17.76,15.59,37.78
Cevennes,17.81,15.63,37.9
Cevennes,17.8,15.63,37.88
Cevennes,18.58,15.64,38.55
Cevennes,18.63,15.68,38.75
MontagneNoire,18.41,15.7,38.52
MontagneNoire,18.5,15.66,38.67
MontagneNoire,18.56,15.65,38.61
MontagneNoire,18.55,15.64,38.59
MontagneNoire,18.45,15.65,38.43
MontagneNoire,17.86,15.6,37.8
MontagneNoire,17.91,15.63,37.97
MontagneNoire,17.9,15.62,37.96
MontagneNoire,17.94,15.64,38.06
MontagneNoire,17.92,15.64,38.04
MontagneNoire,17.79,15.59,37.77
MontagneNoire,17.86,15.61,37.95
MontagneNoire,17.82,15.6,37.88
MontagneNoire,17.784,15.607,37.823
MontagneNoire,17.833,15.593,37.755
MontagneNoire,17.876,15.602,37.833
MontagneNoire,17.879,15.604,37.833
MontagneNoire,18.493,15.693,38.721
Cevennes,18.587,15.68,38.786
Cevennes,18.563,15.677,38.69
Cevennes,18.617,15.775,38.999
Cevennes,18.373,15.684,38.639
Cevennes,18.518,15.678,38.76
Cevennes,18.377,15.679,38.623
Cevennes,18.481,15.68,38.609
Cevennes,18.562,15.681,38.718
Cevennes,18.571,15.679,38.698
Cevennes,18.577,15.689,38.713
Cevennes,18.441,15.669,38.695
Cevennes,18.506,15.678,38.753
Cevennes,18.479,15.681,38.727
Cevennes,18.437,15.673,38.704
Cevennes,18.44,15.67,38.684
Cevennes,18.457,15.673,38.678
Cevennes,18.435,15.67,38.686
Cevennes,18.489,15.667,38.679
Cevennes,18.531,15.678,38.715
Cevennes,18.481,15.668,38.683
Cevennes,18.412,15.664,38.661
Cevennes,18.531,15.677,38.706
Cevennes,18.551,15.68,38.712
Cevennes,18.472,15.667,38.702
Cevennes,18.497,15.671,38.683
Cevennes,18.603,15.686,38.715
Cevennes,18.556,15.671,38.692
Cevennes,18.62,15.66,38.73
