Region,Country,Group,Pb204/Pb206,Pb207/Pb206,Pb208/Pb206,Pb206/Pb204,Pb207/Pb204,Pb208/Pb204,Age,Mu,Kappa,Pb207,Pb206,Pb208,Reference
Roman object,Roman,Y,0.053413097,0.837944664,2.084072215,18.722,15.688,39.018,137.3723828,9.890405472,4.034050547,21.36514681,25.49708558,53.13776761,
Roman object,Roman,Y,0.054356689,0.849377616,2.087405555,18.397,15.626,38.402,258.4812339,9.715379527,3.907953898,21.57542285,25.40144978,53.02312737,
Roman object,Roman,Y,0.054451402,0.850313096,2.087666757,18.365,15.616,38.34,263.0917339,9.682853727,3.892707581,21.59262178,25.39373073,53.01364749,
Roman object,Roman,Y,0.054359643,0.85056534,2.089584692,18.396,15.647,38.44,299.4712705,9.799441834,3.93614719,21.58713078,25.37974422,53.03312501,
Roman object,Roman,Y,0.054424731,0.850930663,2.090290628,18.374,15.635,38.407,292.9317547,9.756604878,3.929083055,21.59053248,25.37284578,53.03662174,
Roman object,Roman,Y,0.054406964,0.849782372,2.08781284,18.38,15.619,38.374,257.6574436,9.691382239,3.901905182,21.58125268,25.39621129,53.02253603,
Roman object,Roman,Y,0.054430655,0.85053342,2.088232092,18.372,15.626,38.365,277.1644824,9.721112532,3.904883559,21.59390849,25.38866548,53.01742603,
Roman object,Roman,Y,0.054573237,0.852979699,2.094629993,18.324,15.63,38.382,320.5800728,9.74847376,3.947538667,21.60749834,25.331785,53.06071666,
Roman object,Roman,Y,0.054353734,0.850799,2.099521687,18.398,15.653,38.627,309.3640602,9.82300735,4.036350386,21.53746663,25.31440051,53.14813286,
Roman object,Roman,Y,0.054412885,0.850691044,2.089128306,18.378,15.634,38.394,288.044033,9.751668549,3.919136187,21.59213325,25.38187443,53.02599232,
Roman object,Roman,Y,0.054412885,0.850963108,2.090270976,18.378,15.639,38.415,297.5926762,9.771668335,3.932070922,21.59128562,25.37276342,53.03595096,
Roman object,Roman,Y,0.054433618,0.850416417,2.088563497,18.371,15.623,38.369,272.1318867,9.709375282,3.906630218,21.58976272,25.38728356,53.02295372,
Roman object,Roman,Y,0.055035773,0.85910842,2.098679141,18.17,15.61,38.133,397.3896155,9.706289263,3.90951908,21.70678459,25.26664164,53.02657378,
Roman object,Roman,Y,0.054785515,0.856790665,2.097682573,18.253,15.639,38.289,390.0809562,9.802557672,3.948448819,21.6663665,25.28781812,53.04581538,
Roman object,Roman,Y,0.054890767,0.858930728,2.100944121,18.218,15.648,38.275,432.4536266,9.84846143,3.967767592,21.69085541,25.25332335,53.05582124,
Roman object,Roman,Y,0.055035773,0.859438635,2.099889928,18.17,15.616,38.155,408.6226215,9.730698801,3.923700197,21.7066763,25.25680766,53.03651603,
Roman object,Roman,Y,0.054516709,0.852096167,2.091260971,18.343,15.63,38.36,306.4475791,9.743917971,3.922957389,21.60839451,25.35910304,53.03250245,
Roman object,Roman,Y,0.054890767,0.856515534,2.095345263,18.218,15.604,38.173,350.2082105,9.669777917,3.896847356,21.67372734,25.30453504,53.02173762,
Roman object,Roman,Y,0.054475132,0.851064989,2.089175791,18.357,15.623,38.351,282.5981531,9.712615746,3.90634848,21.59931426,25.3791597,53.02152604,
Roman object,Roman,Y,0.054647795,0.85403574,2.093611673,18.299,15.628,38.311,335.3675195,9.746511762,3.925458173,21.63404302,25.33154296,53.03441402,
Roman object,Roman,Y,0.054042369,0.843763511,2.078955901,18.504,15.613,38.469,,,,21.50965751,25.49251922,52.99782327,
Roman object,Roman,Y,0.054656756,0.854995627,2.095321382,18.296,15.643,38.336,365.8258545,9.807781659,3.946170879,21.6437219,25.31442407,53.04185403,
